Fecha	Valor
20-08-2020	784.25
19-08-2020	796.23
18-08-2020	803.4
17-08-2020	796.73
14-08-2020	793.32
13-08-2020	792.69
12-08-2020	793.61
11-08-2020	796.58
10-08-2020	784.28
07-08-2020	777.18
06-08-2020	774.82
05-08-2020	767.98
04-08-2020	761.34
03-08-2020	757.06
31-07-2020	754.45
30-07-2020	759.18
29-07-2020	767.82
28-07-2020	768.81
27-07-2020	768.63
24-07-2020	767.17
23-07-2020	769.06
22-07-2020	777.66
21-07-2020	786.04
20-07-2020	787.26
17-07-2020	787.5
15-07-2020	787.87
14-07-2020	788.22
13-07-2020	790.82
10-07-2020	781.74
09-07-2020	786.18
08-07-2020	793.88
07-07-2020	798.79
06-07-2020	801.46
03-07-2020	803.98
02-07-2020	816.29
01-07-2020	821.23
30-06-2020	816.36
26-06-2020	813.25
25-06-2020	820.68
24-06-2020	817.9
23-06-2020	816.02
22-06-2020	817.33
19-06-2020	812.19
18-06-2020	798.53
17-06-2020	779.1
16-06-2020	796.87
15-06-2020	790.73
12-06-2020	784.65
11-06-2020	767.93
10-06-2020	771.96
09-06-2020	769.26
08-06-2020	764.97
05-06-2020	775.58
04-06-2020	769.13
03-06-2020	782.86
02-06-2020	796.46
01-06-2020	806.32
29-05-2020	812.74
28-05-2020	816.47
27-05-2020	802.1
26-05-2020	803.74
25-05-2020	805.75
22-05-2020	806.17
20-05-2020	819.08
19-05-2020	820.65
18-05-2020	823.86
15-05-2020	822.93
14-05-2020	820.38
13-05-2020	821.88
12-05-2020	826.05
11-05-2020	827.65
08-05-2020	836.27
07-05-2020	839.08
06-05-2020	832.84
05-05-2020	838.74
04-05-2020	837.92
30-04-2020	836.62
29-04-2020	850.41
28-04-2020	856.76
27-04-2020	859.95
24-04-2020	858.87
23-04-2020	856.51
22-04-2020	862.06
21-04-2020	856.23
20-04-2020	849.45
17-04-2020	852.52
16-04-2020	859.31
15-04-2020	848.63
14-04-2020	844.57
13-04-2020	839.49
09-04-2020	851.9
08-04-2020	842.05
07-04-2020	853.91
06-04-2020	863.99
03-04-2020	861.89
02-04-2020	863.81
01-04-2020	852.03
31-03-2020	846.3
30-03-2020	835.23
27-03-2020	836.05
26-03-2020	843.96
25-03-2020	847.04
24-03-2020	861.07
23-03-2020	851.01
20-03-2020	867.83
19-03-2020	862.69
18-03-2020	855.09
17-03-2020	850.51
16-03-2020	836.66
13-03-2020	852.06
12-03-2020	835.48
11-03-2020	834.22
10-03-2020	841.06
09-03-2020	828.95
06-03-2020	823.28
05-03-2020	812.19
04-03-2020	809.81
03-03-2020	817.45
02-03-2020	818.32
28-02-2020	816.26
27-02-2020	811.1
26-02-2020	807.96
25-02-2020	810.2
24-02-2020	809.82
21-02-2020	804.74
20-02-2020	797.4
19-02-2020	796.9
18-02-2020	791.95
17-02-2020	792.73
14-02-2020	795.12
13-02-2020	788.33
12-02-2020	792.48
11-02-2020	795.88
10-02-2020	788.8
07-02-2020	779.12
06-02-2020	776.99
05-02-2020	781.78
04-02-2020	790.92
03-02-2020	799.11
31-01-2020	797.96
30-01-2020	788.18
29-01-2020	788.13
28-01-2020	787.86
27-01-2020	776.52
24-01-2020	771.94
23-01-2020	772.12
22-01-2020	770.5
21-01-2020	769.93
20-01-2020	771.38
17-01-2020	773.36
16-01-2020	772.01
15-01-2020	772.29
14-01-2020	777.66
13-01-2020	770.56
10-01-2020	764.69
09-01-2020	766.83
08-01-2020	773.12
07-01-2020	771.82
06-01-2020	758.49
03-01-2020	754.16
02-01-2020	748.74
30-12-2019	744.62
27-12-2019	746.66
26-12-2019	751.04
24-12-2019	754.27
23-12-2019	749.83
20-12-2019	752.6
19-12-2019	752.3
18-12-2019	756.95
17-12-2019	762.83
16-12-2019	766.76
13-12-2019	768.69
12-12-2019	772.93
11-12-2019	778.14
10-12-2019	771.29
09-12-2019	779.04
06-12-2019	784.25
05-12-2019	796.75
04-12-2019	802.44
03-12-2019	804.29
02-12-2019	812.13
29-11-2019	828.25
28-11-2019	806.3
27-11-2019	793.49
26-11-2019	791.16
25-11-2019	795.94
22-11-2019	795.14
21-11-2019	797.17
20-11-2019	782.71
19-11-2019	773.81
18-11-2019	782.82
15-11-2019	801.83
14-11-2019	794.51
13-11-2019	783.72
12-11-2019	756.08
11-11-2019	746.23
08-11-2019	740.23
07-11-2019	743.65
06-11-2019	745.85
05-11-2019	736.66
04-11-2019	735.05
30-10-2019	726.34
29-10-2019	724.37
28-10-2019	725.87
25-10-2019	723.43
24-10-2019	726.15
23-10-2019	726.24
22-10-2019	723.52
21-10-2019	709.71
18-10-2019	713.23
17-10-2019	718.69
16-10-2019	715.48
15-10-2019	712.04
14-10-2019	712.98
11-10-2019	720.61
10-10-2019	724.27
09-10-2019	722.28
08-10-2019	717.05
07-10-2019	715.53
04-10-2019	719.53
03-10-2019	727.8
02-10-2019	729.38
01-10-2019	728.21
30-09-2019	725.68
27-09-2019	726.17
26-09-2019	727.08
25-09-2019	721.92
24-09-2019	722.17
23-09-2019	715.24
17-09-2019	709.81
16-09-2019	707.07
13-09-2019	711.29
12-09-2019	714.39
11-09-2019	714.77
10-09-2019	713.72
09-09-2019	711.22
06-09-2019	717.52
05-09-2019	723.3
04-09-2019	725.69
03-09-2019	724.72
02-09-2019	720.2
30-08-2019	720.65
29-08-2019	724.2
28-08-2019	721.55
27-08-2019	718.75
