"","cste","Haar0.01","Haar0.03","Haar0.04","Haar0.06","Haar0.07","Haar0.09","Haar0.1","Haar0.12","Haar0.14","Haar0.15","Haar0.17","Haar0.18","Haar0.2","Haar0.21","Haar0.23","Haar0.25","Haar0.26","Haar0.28","Haar0.29","Haar0.31","Haar0.32","Haar0.34","Haar0.35","Haar0.37","Haar0.39","Haar0.4","Haar0.42","Haar0.43","Haar0.45","Haar0.46","Haar0.48","Haar0.5","Haar0.51","Haar0.53","Haar0.54","Haar0.56","Haar0.57","Haar0.59","Haar0.6","Haar0.62","Haar0.64","Haar0.65","Haar0.67","Haar0.68","Haar0.7","Haar0.71","Haar0.73","Haar0.75","Haar0.76","Haar0.78","Haar0.79","Haar0.81","Haar0.82","Haar0.84","Haar0.85","Haar0.87","Haar0.89","Haar0.9","Haar0.92","Haar0.93","Haar0.95","Haar0.96","Haar0.98","Haar1","sin(2pi*1posx)","cos(2pi1posx)","sin(2pi*2posx)","cos(2pi2posx)","sin(2pi*3posx)","cos(2pi3posx)","sin(2pi*4posx)","cos(2pi4posx)","sin(2pi*5posx)","cos(2pi5posx)","sin(2pi*6posx)","cos(2pi6posx)","sin(2pi*7posx)","cos(2pi7posx)","sin(2pi*8posx)","cos(2pi8posx)","sin(2pi*9posx)","cos(2pi9posx)","sin(2pi*10posx)","cos(2pi10posx)","sin(2pi*11posx)","cos(2pi11posx)","sin(2pi*12posx)","cos(2pi12posx)","sin(2pi*13posx)","cos(2pi13posx)","x","xx","Order1-1","Order1-2","Order1-3","Order1-4","Order1-5","Order1-6","Order1-7","Order1-8","Order1-9","Order1-10","Order1-11","Order1-12","Order1-13","Order1-14","Order1-15","Order1-16","Order1-17","Order1-18","Order1-19","Order1-20","Order1-21","Order1-22","Order1-23","Order1-24","Order1-25","Order1-26","Order1-27","Order1-28","Order1-29","Order1-30","Order2-1","Order2-2","Order2-3","Order2-4","Order2-5","Order2-6","Order2-7","Order2-8","Order2-9","Order2-10","Order2-11","Order2-12","Order2-13","Order2-14","Order2-15","Order2-16","Order2-17","Order2-18","Order2-19","Order2-20","Order2-21","Order2-22","Order2-23","Order2-24","Order2-25","Order2-26","Order2-27","Order2-28","Order2-29","Order2-30","Order2-31","Order3-1","Order3-2","Order3-3","Order3-4","Order3-5","Order3-6","Order3-7","Order3-8","Order3-9","Order3-10","Order3-11","Order3-12","Order3-13","Order3-14","Order3-15","Order3-16","Order3-17","Order3-18","Order3-19","Order3-20","Order3-21","Order3-22","Order3-23","Order3-24","Order3-25","Order3-26","Order3-27","Order3-28","Order3-29","Order3-30","Order3-31","Order3-32","Order3-1","Order3-2","Order3-3","Order3-4","Order3-5","Order3-6","Order3-7","Order3-8","Order3-9","Order3-10","Order3-11","Order3-12","Order3-13","Order3-14","Order3-15","Order3-16","Order3-17","Order3-18","Order3-19","Order3-20","Order3-21","Order3-22","Order3-23","Order3-24","Order3-25","Order3-26","Order3-27","Order3-28","Order3-29","Order3-30","Order3-31","Order3-32","Order3-33","Order3-34","Order3-35","Order3-36","Order3-37","Order3-38","Order3-39","Order3-40","Order3-41","Order3-42","Order3-43","Order3-44","Order3-45","Order3-46","Order3-47","Order3-48","Order3-49","Order3-50","Order3-51","Order3-52","Order3-53","Order3-54","Order3-55","Order3-56","Order3-57","Order3-58","Order3-59","Order3-60","Order3-61","Order3-62"
"1",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00959250220707504,0.999953990892285,0.0191841217292155,0.999815967802815,0.0287739759627098,0.999585943432228,0.0383611824662851,0.999263938946957,0.0479448590423081,0.99884998397728,0.057524123817963,0.998344116614595,0.0670980953263999,0.997746383407913,0.0766658925878461,0.997056839359577,0.0862266351906719,0.9962755479202,0.0957794433724049,0.995402580982826,0.105323438100684,0.994438018876316,0.114857741154146,0.993381950357951,0.124381475203238,0.992234472605274,0.00152671755725191,2.33086649962123e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191841217292155,0.999815967802815,0.0383611824662851,0.999263938946957,0.057524123817963,0.998344116614595,0.0766658925878461,0.997056839359577,0.0957794433724049,0.995402580982826,0.114857741154146,0.993381950357951,0.13389376389095,0.990995691207139,0.152880505100637,0.988244681827418,0.171810976439804,0.98512993476739,0.190678210275981,0.981652596454545,0.209475262252173,0.977813946773303,0.228195213842828,0.973615398593935,0.246831174900302,0.969058497252532,0.00305343511450382,9.32346599848494e-06,0.976299694189602,0.0237003058103976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953161092874711,0.0464644374616178,0.000374469663670909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.930570883487008,0.0683204992645556,0.00110417972566367,4.43752277285864e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.866515086602665,0.129247764392581,0.00420333901661963,3.38099881342092e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287739759627098,0.999585943432228,0.057524123817963,0.998344116614595,0.0862266351906719,0.9962755479202,0.114857741154146,0.993381950357951,0.143393731913451,0.989665720153999,0.171810976439804,0.98512993476739,0.200085942039736,0.979778350341582,0.228195213842828,0.973615398593935,0.256115514191868,0.966646183145744,0.28382372191939,0.958876475295867,0.31129689149461,0.950312709241433,0.338512272024931,0.940961976749602,0.365447326096244,0.930832021284778,0.00458015267175573,2.09777984965911e-05,0.952599388379205,0.0474006116207951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907445594740435,0.0910565266048811,0.00149787865468364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864432118537142,0.131192579439416,0.00433980184125848,3.55001821828691e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.745471140314518,0.238031063508256,0.0162273162721523,0.000270479905073674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383611824662851,0.999263938946957,0.0766658925878461,0.997056839359577,0.114857741154146,0.993381950357951,0.152880505100637,0.988244681827418,0.190678210275981,0.981652596454545,0.228195213842828,0.973615398593935,0.265376286190874,0.964144919982229,0.302166692241588,0.953255102320348,0.338512272024931,0.940961976749602,0.374359520409444,0.927283640251898,0.409655665868339,0.912240229008767,0.444348748165626,0.895853888758452,0.478387694847927,0.878148742194673,0.00610687022900763,3.72938639939397e-05,0.928899082568807,0.0711009174311927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862853505597172,0.13377626742979,0.00337022697303818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801503829740492,0.18878486638995,0.00959149075469009,0.000119813114867183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636259581349144,0.327634676896124,0.0351928720751084,0.000912869679623648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0479448590423081,0.99884998397728,0.0957794433724049,0.995402580982826,0.143393731913451,0.989665720153999,0.190678210275981,0.981652596454545,0.237524122644509,0.971381640325756,0.28382372191939,0.958876475295867,0.3294705175386,0.944165863645179,0.374359520409444,0.927283640251898,0.418387484386831,0.908268634770825,0.461453143742718,0.887164582323913,0.503457446080527,0.864020022908076,0.544303780158837,0.83888818975165,0.583898198100327,0.811826886876254,0.00763358778625954,5.82716624905308e-05,0.90519877675841,0.0948012232415902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819384825444922,0.174623659936344,0.00599151461873455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741706141687146,0.241265985981527,0.0167438708738642,0.000284001457462953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538271829920125,0.399343384105287,0.0602209467339987,0.00216383924058939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057524123817963,0.998344116614595,0.114857741154146,0.993381950357951,0.171810976439804,0.98512993476739,0.228195213842828,0.973615398593935,0.28382372191939,0.958876475295867,0.338512272024931,0.940961976749602,0.392079748436468,0.919931231596143,0.444348748165626,0.895853888758452,0.495146168475958,0.86880968678047,0.544303780158837,0.83888818975165,0.59165878466936,0.806188490691585,0.637054353277156,0.770818883377039,0.680340146446569,0.73289650369821,0.00916030534351145,8.39111939863644e-05,0.881498470948012,0.118501529051988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777039554283684,0.213598704124544,0.00936174159177274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684959178967192,0.288804564079514,0.0256815666066864,0.00055469034660733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450899306241047,0.454441964684843,0.0904324805573336,0.00422624851677615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0670980953263999,0.997746383407913,0.13389376389095,0.990995691207139,0.200085942039736,0.979778350341582,0.265376286190874,0.964144919982229,0.3294705175386,0.944165863645179,0.392079748436468,0.919931231596143,0.452921784481341,0.891550254972897,0.511722396429363,0.859150853455078,0.568216556211114,0.822879058700355,0.622149631474913,0.782898356145694,0.673278533274205,0.739388948140378,0.721372811726132,0.692546941731992,0.766215694702885,0.642583464766232,0.0106870229007634,0.00011421245848144,0.857798165137615,0.142201834862385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735817692113458,0.250701399994389,0.0134809078921527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.631183066170719,0.331569226549281,0.0362892023610625,0.000958504918937465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373533430525494,0.494215198183893,0.124948413853624,0.00730295743698918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0766658925878461,0.997056839359577,0.152880505100637,0.988244681827418,0.228195213842828,0.973615398593935,0.302166692241588,0.953255102320348,0.374359520409444,0.927283640251898,0.444348748165626,0.895853888758452,0.511722396429363,0.859150853455078,0.576083882261113,0.817390580199554,0.637054353277156,0.770818883377039,0.694274917696448,0.719709898957622,0.747408756892945,0.664364470843936,0.796143108018252,0.605108380007282,0.840191105024233,0.542290426836173,0.0122137404580153,0.000149175455975759,0.834097859327217,0.165902140672783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695719238934246,0.285931747545879,0.0183490135198746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.580297927887815,0.369728599256196,0.0484514025448981,0.00152207031109051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30556562298705,0.519947864151537,0.16288968693138,0.0115968259300338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0862266351906719,0.9962755479202,0.171810976439804,0.98512993476739,0.256115514191868,0.966646183145744,0.338512272024931,0.940961976749602,0.418387484386831,0.908268634770825,0.495146168475958,0.86880968678047,0.568216556211114,0.822879058700355,0.637054353277156,0.770818883377039,0.70114679352118,0.713016952067037,0.760016458498454,0.649903825816918,0.813224833716655,0.581949628255332,0.860375575088294,0.509660543687157,0.901117461259839,0.433575046575126,0.0137404580152672,0.00018880018646932,0.81039755351682,0.18960244648318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656744194746047,0.319289746779015,0.0239660584749382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53222388870857,0.403451308065628,0.0620527915660989,0.00227201165970362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246387303839299,0.532924742136874,0.203377240099112,0.0173107139247151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0957794433724049,0.995402580982826,0.190678210275981,0.981652596454545,0.28382372191939,0.958876475295867,0.374359520409444,0.927283640251898,0.461453143742718,0.887164582323913,0.544303780158837,0.83888818975165,0.622149631474913,0.782898356145694,0.694274917696448,0.719709898957622,0.760016458498454,0.649903825816918,0.818769771061129,0.574121992259925,0.869994628191478,0.493061199972146,0.913220025624854,0.407466789809601,0.948048512832887,0.318125788510382,0.0152671755725191,0.000233086649962123,0.786697247706422,0.213302752293578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61889255954886,0.350775397693797,0.0303320427573437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486881073223071,0.432905978842945,0.0769779938325706,0.00323495410141395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195389893295826,0.534430611689005,0.245532013665331,0.0246474813498385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
